dist_lgd,n_months,n_raw_surges,n_raw_dips,sign_flip_rate,surge_artefact_rate,dip_artefact_rate,surge_artefact_among_surges,dip_artefact_among_dips,method,n_complete,med_total
438,52,8,9,0.36538461538461536,0.11538461538461539,0.09615384615384616,0.75,0.5555555555555556,STL,52,1682
439,52,14,15,0.3269230769230769,0.11538461538461539,0.09615384615384616,0.42857142857142855,0.3333333333333333,STL,52,117
440,52,16,16,0.25,0.15384615384615385,0.15384615384615385,0.5,0.5,STL,52,404
441,52,10,10,0.34615384615384615,0.11538461538461539,0.09615384615384616,0.6,0.5,STL,52,591
442,52,12,12,0.36538461538461536,0.17307692307692307,0.15384615384615385,0.75,0.6666666666666666,STL,52,241
443,52,11,15,0.17307692307692307,0.09615384615384616,0.11538461538461539,0.45454545454545453,0.4,STL,52,376.5
444,52,18,16,0.28846153846153844,0.11538461538461539,0.057692307692307696,0.3333333333333333,0.1875,STL,52,21
445,52,17,16,0.2692307692307692,0.2692307692307692,0.21153846153846154,0.8235294117647058,0.6875,STL,52,727
446,52,14,14,0.3269230769230769,0.07692307692307693,0.1346153846153846,0.2857142857142857,0.5,STL,52,295
447,52,14,13,0.28846153846153844,0.11538461538461539,0.1346153846153846,0.42857142857142855,0.5384615384615384,STL,52,202
448,52,15,20,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.6,0.45,STL,52,119
449,52,15,15,0.25,0.11538461538461539,0.11538461538461539,0.4,0.4,STL,52,276.5
450,52,12,10,0.38461538461538464,0.19230769230769232,0.15384615384615385,0.8333333333333334,0.8,STL,52,385
451,52,13,13,0.4230769230769231,0.17307692307692307,0.19230769230769232,0.6923076923076923,0.7692307692307693,STL,52,531.5
452,52,13,14,0.25,0.11538461538461539,0.09615384615384616,0.46153846153846156,0.35714285714285715,STL,52,118
453,52,15,15,0.36538461538461536,0.17307692307692307,0.19230769230769232,0.6,0.6666666666666666,STL,52,176
454,52,12,13,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.6666666666666666,0.46153846153846156,STL,52,489.5
455,52,13,17,0.25,0.1346153846153846,0.11538461538461539,0.5384615384615384,0.35294117647058826,STL,52,366.5
456,52,21,16,0.21153846153846154,0.1346153846153846,0.07692307692307693,0.3333333333333333,0.25,STL,52,42.5
457,52,10,13,0.3076923076923077,0.09615384615384616,0.17307692307692307,0.5,0.6923076923076923,STL,52,432
458,52,12,11,0.28846153846153844,0.09615384615384616,0.11538461538461539,0.4166666666666667,0.5454545454545454,STL,52,397
459,52,7,9,0.36538461538461536,0.07692307692307693,0.057692307692307696,0.5714285714285714,0.3333333333333333,STL,52,1227
460,52,18,17,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.4444444444444444,0.7058823529411765,STL,52,263
461,52,12,12,0.34615384615384615,0.09615384615384616,0.21153846153846154,0.4166666666666667,0.9166666666666666,STL,52,667.5
462,52,5,4,0.28846153846153844,0.019230769230769232,0.019230769230769232,0.2,0.25,STL,52,242.5
463,52,20,21,0.23076923076923078,0.19230769230769232,0.11538461538461539,0.5,0.2857142857142857,STL,52,30.5
464,35,9,20,0.2571428571428571,0.02857142857142857,0.05714285714285714,0.1111111111111111,0.1,simple,52,1
465,52,15,16,0.23076923076923078,0.1346153846153846,0.1346153846153846,0.4666666666666667,0.4375,STL,52,68
466,52,12,14,0.38461538461538464,0.11538461538461539,0.11538461538461539,0.5,0.42857142857142855,STL,52,450.5
467,52,11,15,0.25,0.11538461538461539,0.1346153846153846,0.5454545454545454,0.4666666666666667,STL,52,250.5
468,52,12,12,0.3076923076923077,0.1346153846153846,0.038461538461538464,0.5833333333333334,0.16666666666666666,STL,52,343.5
469,52,6,5,0.36538461538461536,0.057692307692307696,0.057692307692307696,0.5,0.6,STL,52,479.5
470,52,12,11,0.2692307692307692,0.11538461538461539,0.09615384615384616,0.5,0.45454545454545453,STL,52,168.5
471,52,12,15,0.21153846153846154,0.07692307692307693,0.057692307692307696,0.3333333333333333,0.2,STL,52,149
472,52,14,13,0.28846153846153844,0.17307692307692307,0.11538461538461539,0.6428571428571429,0.46153846153846156,STL,52,246.5
473,52,13,16,0.3269230769230769,0.17307692307692307,0.11538461538461539,0.6923076923076923,0.375,STL,52,279.5
474,52,12,10,0.2692307692307692,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.4,STL,52,281.5
475,52,17,15,0.28846153846153844,0.23076923076923078,0.15384615384615385,0.7058823529411765,0.5333333333333333,STL,52,172
476,52,14,12,0.2692307692307692,0.1346153846153846,0.09615384615384616,0.5,0.4166666666666667,STL,52,180
477,52,14,14,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.5714285714285714,0.42857142857142855,STL,52,121
478,52,10,12,0.2692307692307692,0.11538461538461539,0.15384615384615385,0.6,0.6666666666666666,STL,52,441.5
479,52,7,6,0.36538461538461536,0.11538461538461539,0.057692307692307696,0.8571428571428571,0.5,STL,52,566
480,52,11,11,0.25,0.09615384615384616,0.07692307692307693,0.45454545454545453,0.36363636363636365,STL,52,325.5
481,52,9,10,0.3076923076923077,0.09615384615384616,0.057692307692307696,0.5555555555555556,0.3,STL,52,239
